127.0.0.1 - - [27/Oct/2022:09:21:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:21:32 +0900] "GET /ch15/1.addNumber-1.html HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:21:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:22:23 +0900] "GET /ch15/1.addNumber-1.html HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:23:05 +0900] "GET /ch15/1.addNumber-1.html HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:23:44 +0900] "GET /ch15/1.addNumber-1.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:33:48 +0900] "GET /ch15/2.var-3.html HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:37:33 +0900] "GET /ch15/2.var-3.html HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:37:37 +0900] "GET /ch15/2.var-3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:37:37 +0900] "GET /ch15/2.var-3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:37:38 +0900] "GET /ch15/2.var-3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:09:45:15 +0900] "GET /ch15/scope.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:13:55 +0900] "GET /ch15/4.var-4.html HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:21:15 +0900] "GET /ch15/let-1.html HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:24:28 +0900] "GET /ch15/let-1.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:25:50 +0900] "GET /ch15/let-1.html HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:27:08 +0900] "GET /ch15/let-1.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:27:09 +0900] "GET /ch15/let-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:27:10 +0900] "GET /ch15/let-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:27:10 +0900] "GET /ch15/let-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:27:10 +0900] "GET /ch15/let-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:27:10 +0900] "GET /ch15/let-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:27:33 +0900] "GET /ch15/let-1.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:27:34 +0900] "GET /ch15/let-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:10:45:35 +0900] "GET /ch15/6.addNumber-3.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Oct/2022:11:10:21 +0900] "GET /ch15/9.arrow-2.html HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [27/Oct/2022:11:32:46 +0900] "GET /ch15/11.event-1.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [27/Oct/2022:11:32:46 +0900] "GET /ch15/css/function.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [27/Oct/2022:11:34:37 +0900] "GET /ch15/11.event-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2022:11:34:37 +0900] "GET /ch15/css/function.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [27/Oct/2022:11:38:57 +0900] "GET /ch15/12.event-2.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [27/Oct/2022:11:41:21 +0900] "GET /ch15/12.event-2.html HTTP/1.1" 200 1029
